期货代码,期货名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
y2501,豆油2501,-0.1,8172.0,8268.0,8130.0,8196.0,-8.0,-,1.27,-,160768,13208025620.0,8196.0,-,-,114.y2501,大商所,2024-11-29 23:00:00,2024-11-29
as,豆一次主连,-0.1,3930.0,3933.0,3910.0,3920.0,-4.0,-,1.82,-,11555,452867130.0,3925.0,-,-,114.as,大商所,2024-11-29 23:00:00,2024-11-29
a2505,豆一2505,-0.1,3930.0,3933.0,3910.0,3920.0,-4.0,-,1.82,-,11555,452867130.0,3925.0,-,-,114.a2505,大商所,2024-11-29 23:00:00,2024-11-29
ppm,聚丙烯主连,-0.11,7516.0,7544.0,7505.0,7542.0,-8.0,-,1.01,-,66525,2501953175.0,7542.0,-,-,114.ppm,大商所,2024-11-29 23:00:00,2024-11-29
pp2501,聚丙烯2501,-0.11,7516.0,7544.0,7505.0,7542.0,-8.0,-,1.01,-,66525,2501953175.0,7542.0,-,-,114.pp2501,大商所,2024-11-29 23:00:00,2024-11-29
pp2509,聚丙烯2509,-0.11,7515.0,7534.0,7508.0,7534.0,-8.0,-,1.05,-,249,9359270.0,7534.0,-,-,114.pp2509,大商所,2024-11-29 22:59:52,2024-11-29
ss2507,不锈钢2507,-0.11,13570.0,13575.0,13540.0,13575.0,-15.0,-,-,-,9,610275.0,13590.0,-,-,113.ss2507,上期所,2024-11-30 01:00:00,2024-11-29
pb2504,沪铅2504,-0.12,17370.0,17380.0,17280.0,17280.0,-20.0,-,-,-,5,433000.0,17405.0,-,-,113.pb2504,上期所,2024-11-30 01:00:00,2024-11-29
rb2510,螺纹钢2510,-0.12,3437.0,3443.0,3429.0,3437.0,-4.0,-,0.8,-,1059,36396030.0,3434.0,-,-,113.rb2510,上期所,2024-11-29 23:00:00,2024-11-29
MA510,甲醇510,-0.12,2521.0,2521.0,2521.0,2521.0,-3.0,-,-,-,1,25210.0,2527.0,-,-,115.MA510,郑商所,2024-11-29 22:59:19,2024-11-29
pp2504,聚丙烯2504,-0.12,7524.0,7524.0,7500.0,7500.0,-9.0,-,-,-,41,1539390.0,7533.0,-,-,114.pp2504,大商所,2024-11-29 22:59:59,2024-11-29
pp2502,聚丙烯2502,-0.12,7471.0,7493.0,7461.0,7490.0,-9.0,-,0.86,-,415,15512210.0,7490.0,-,-,114.pp2502,大商所,2024-11-29 23:00:00,2024-11-29
TA509,PTA509,-0.12,4946.0,4972.0,4942.0,4972.0,-6.0,-,1.68,-,1809,44772750.0,4972.0,-,-,115.TA509,郑商所,2024-11-29 22:59:59,2024-11-29
SM503,锰硅503,-0.12,6404.0,6438.0,6380.0,6414.0,-8.0,-,1.09,-,12956,415239800.0,6432.0,-,-,115.SM503,郑商所,2024-11-29 21:00:00,2024-11-29
TA412,PTA412,-0.13,4760.0,4766.0,4758.0,4766.0,-6.0,-,0.02,-,32,762240.0,4780.0,-,-,115.TA412,郑商所,2024-11-29 23:00:00,2024-11-29
i2504,铁矿石2504,-0.13,783.0,787.5,782.0,787.5,-1.0,-,0.37,-,359,28143300.0,784.5,-,-,114.i2504,大商所,2024-11-29 22:59:58,2024-11-29
RM507,菜粕507,-0.13,2347.0,2367.0,2338.0,2358.0,-3.0,-,1.06,-,1150,27071000.0,2358.0,-,-,115.RM507,郑商所,2024-11-29 22:59:58,2024-11-29
i2507,铁矿石2507,-0.13,769.0,772.0,768.5,772.0,-1.0,-,0.86,-,411,31663200.0,770.0,-,-,114.i2507,大商所,2024-11-29 22:59:59,2024-11-29
nr2509,20号胶2509,-0.13,15165.0,15200.0,15110.0,15200.0,-20.0,-,-,-,5,757500.0,15200.0,-,-,142.nr2509,上海能源期货交易所,2024-11-29 23:00:00,2024-11-29
p2507,棕榈油2507,-0.13,8920.0,9028.0,8890.0,8998.0,-12.0,-,-,-,117,10504000.0,8976.0,-,-,114.p2507,大商所,2024-11-29 22:59:59,2024-11-29
jd2511,鸡蛋2511,-0.14,3616.0,3629.0,3605.0,3622.0,-5.0,-,-,-,114,4119150.0,3618.0,-,-,114.jd2511,大商所,2024-11-29 21:00:00,2024-11-29
cm,玉米主连,-0.14,2164.0,2169.0,2155.0,2160.0,-3.0,-,0.78,-,145898,3156830100.0,2163.0,-,-,114.cm,大商所,2024-11-29 23:00:00,2024-11-29
c2501,玉米2501,-0.14,2164.0,2169.0,2155.0,2160.0,-3.0,-,0.78,-,145898,3156830100.0,2163.0,-,-,114.c2501,大商所,2024-11-29 23:00:00,2024-11-29
PX509,对二甲苯509,-0.14,7052.0,7052.0,7052.0,7052.0,-10.0,-,-,-,1,35260.0,7090.0,-,-,115.PX509,郑商所,2024-11-29 22:59:57,2024-11-29
rr2503,粳米2503,-0.14,3476.0,3482.0,3471.0,3479.0,-5.0,-,-,-,1908,66307630.0,3479.0,-,-,114.rr2503,大商所,2024-11-29 23:00:00,2024-11-29
rb2509,螺纹钢2509,-0.15,3433.0,3440.0,3427.0,3440.0,-5.0,-,-,-,46,1578100.0,3432.0,-,-,113.rb2509,上期所,2024-11-29 23:00:00,2024-11-29
fbm,纤维板主连,-0.15,1319.0,1323.5,1317.5,1322.0,-2.0,-,1.55,-,349,4608000.0,1321.5,-,-,114.fbm,大商所,2024-11-29 21:00:00,2024-11-29
fb2501,纤维板2501,-0.15,1319.0,1323.5,1317.5,1322.0,-2.0,-,1.55,-,349,4608000.0,1321.5,-,-,114.fb2501,大商所,2024-11-29 21:00:00,2024-11-29
SF511,硅铁511,-0.15,6546.0,6546.0,6546.0,6546.0,-10.0,-,-,-,1,32730.0,6556.0,-,-,115.SF511,郑商所,2024-11-29 21:00:00,2024-11-29
sc2504,原油2504,-0.15,521.4,526.6,521.0,526.0,-0.8,-,-,-,56,29357700.0,523.5,-,-,142.sc2504,上海能源期货交易所,2024-11-30 02:30:00,2024-11-29
MA509,甲醇509,-0.16,2512.0,2530.0,2512.0,2530.0,-4.0,-,0.47,-,393,9887880.0,2525.0,-,-,115.MA509,郑商所,2024-11-29 22:59:50,2024-11-29
ru2504,橡胶2504,-0.16,18205.0,18280.0,18205.0,18280.0,-30.0,-,-,-,5,912250.0,18200.0,-,-,113.ru2504,上期所,2024-11-29 23:00:00,2024-11-29
RMM,菜粕主连,-0.17,2361.0,2382.0,2354.0,2370.0,-4.0,-,1.28,-,153696,3642595200.0,2373.0,-,-,115.RMM,郑商所,2024-11-29 23:00:00,2024-11-29
RM505,菜粕505,-0.17,2361.0,2382.0,2354.0,2370.0,-4.0,-,1.44,-,153696,3642595200.0,2373.0,-,-,115.RM505,郑商所,2024-11-29 23:00:00,2024-11-29
hc2503,热卷2503,-0.17,3508.0,3516.0,3496.0,3506.0,-6.0,-,0.86,-,21115,740161520.0,3513.0,-,-,113.hc2503,上期所,2024-11-29 23:00:00,2024-11-29
SA510,纯碱510,-0.18,1696.0,1701.0,1692.0,1697.0,-3.0,-,-,-,142,4813800.0,1699.0,-,-,115.SA510,郑商所,2024-11-29 22:59:56,2024-11-29
rb2506,螺纹钢2506,-0.18,3377.0,3388.0,3376.0,3383.0,-6.0,-,-,-,45,1521670.0,3384.0,-,-,113.rb2506,上期所,2024-11-29 23:00:00,2024-11-29
i2503,铁矿石2503,-0.19,784.5,789.0,783.5,789.0,-1.5,-,0.7,-,1336,104971600.0,786.5,-,-,114.i2503,大商所,2024-11-29 23:00:00,2024-11-29
MA507,甲醇507,-0.2,2538.0,2544.0,2538.0,2543.0,-5.0,-,-,-,5,127100.0,2547.0,-,-,115.MA507,郑商所,2024-11-29 22:59:50,2024-11-29
RSM,菜籽主连,-0.2,5999.0,6050.0,5946.0,6011.0,-12.0,-,-,-,16,958400.0,6008.0,-,-,115.RSM,郑商所,2024-11-29 21:00:00,2024-11-29
RS507,菜籽507,-0.2,5999.0,6050.0,5946.0,6011.0,-12.0,-,-,-,16,958400.0,6008.0,-,-,115.RS507,郑商所,2024-11-29 21:00:00,2024-11-29
pb2506,沪铅2506,-0.2,17405.0,17405.0,17270.0,17310.0,-35.0,-,-,-,12,1039675.0,17400.0,-,-,113.pb2506,上期所,2024-11-30 01:00:00,2024-11-29
FG510,玻璃510,-0.2,1477.0,1483.0,1472.0,1477.0,-3.0,-,-,-,72,2126880.0,1477.0,-,-,115.FG510,郑商所,2024-11-29 22:59:41,2024-11-29
PKM,花生主连,-0.2,7838.0,7888.0,7828.0,7880.0,-16.0,-,1.03,-,42737,1678281990.0,7862.0,-,-,115.PKM,郑商所,2024-11-29 21:00:00,2024-11-29
PK501,花生501,-0.2,7838.0,7888.0,7828.0,7880.0,-16.0,-,1.03,-,42737,1678281990.0,7862.0,-,-,115.PK501,郑商所,2024-11-29 21:00:00,2024-11-29
FG509,玻璃509,-0.2,1462.0,1471.0,1459.0,1464.0,-3.0,-,1.08,-,1952,57154560.0,1464.0,-,-,115.FG509,郑商所,2024-11-29 22:59:56,2024-11-29
SF507,硅铁507,-0.22,6474.0,6484.0,6460.0,6472.0,-14.0,-,-,-,51,1650870.0,6498.0,-,-,115.SF507,郑商所,2024-11-29 21:00:00,2024-11-29
y2503,豆油2503,-0.22,8132.0,8240.0,8078.0,8182.0,-18.0,-,1.38,-,2650,216453660.0,8178.0,-,-,114.y2503,大商所,2024-11-29 22:59:59,2024-11-29
hcs,热卷次主连,-0.23,3516.0,3528.0,3506.0,3527.0,-8.0,-,1.03,-,45656,1605319720.0,3524.0,-,-,113.hcs,上期所,2024-11-29 23:00:00,2024-11-29
hc2505,热卷2505,-0.23,3516.0,3528.0,3506.0,3527.0,-8.0,-,1.0,-,45656,1605319720.0,3524.0,-,-,113.hc2505,上期所,2024-11-29 23:00:00,2024-11-29
PXS,对二甲苯次主连,-0.23,6902.0,6962.0,6888.0,6946.0,-16.0,-,1.16,-,7491,258589320.0,6946.0,-,-,115.PXS,郑商所,2024-11-29 22:59:57,2024-11-29
PX505,对二甲苯505,-0.23,6902.0,6962.0,6888.0,6946.0,-16.0,-,1.52,-,7491,258589320.0,6946.0,-,-,115.PX505,郑商所,2024-11-29 22:59:57,2024-11-29
csm,淀粉主连,-0.23,2549.0,2560.0,2541.0,2549.0,-6.0,-,1.06,-,36870,941211960.0,2547.0,-,-,114.csm,大商所,2024-11-29 22:59:59,2024-11-29
cs2501,淀粉2501,-0.23,2549.0,2560.0,2541.0,2549.0,-6.0,-,1.06,-,36870,941211960.0,2547.0,-,-,114.cs2501,大商所,2024-11-29 22:59:59,2024-11-29
p2510,棕榈油2510,-0.24,8430.0,8560.0,8430.0,8536.0,-20.0,-,-,-,15,1278400.0,8500.0,-,-,114.p2510,大商所,2024-11-29 22:59:56,2024-11-29
rb2504,螺纹钢2504,-0.24,3352.0,3360.0,3343.0,3359.0,-8.0,-,1.71,-,204,6833050.0,3359.0,-,-,113.rb2504,上期所,2024-11-29 23:00:00,2024-11-29
FGM,玻璃主连,-0.24,1257.0,1265.0,1249.0,1263.0,-3.0,-,0.8,-,226584,5691790080.0,1263.0,-,-,115.FGM,郑商所,2024-11-29 23:00:00,2024-11-29
FG501,玻璃501,-0.24,1257.0,1265.0,1249.0,1263.0,-3.0,-,0.8,-,226584,5691790080.0,1263.0,-,-,115.FG501,郑商所,2024-11-29 23:00:00,2024-11-29
SA506,纯碱506,-0.25,1612.0,1616.0,1605.0,1614.0,-4.0,-,3.29,-,395,12719000.0,1614.0,-,-,115.SA506,郑商所,2024-11-29 23:00:00,2024-11-29
a2511,豆一2511,-0.25,3996.0,3996.0,3992.0,3992.0,-10.0,-,-,-,3,119840.0,4004.0,-,-,114.a2511,大商所,2024-11-29 22:59:57,2024-11-29
SMS,锰硅次主连,-0.25,6382.0,6426.0,6364.0,6418.0,-16.0,-,0.97,-,39473,1262346540.0,6422.0,-,-,115.SMS,郑商所,2024-11-29 21:00:00,2024-11-29
SM502,锰硅502,-0.25,6382.0,6426.0,6364.0,6418.0,-16.0,-,0.97,-,39473,1262346540.0,6422.0,-,-,115.SM502,郑商所,2024-11-29 21:00:00,2024-11-29
ss2509,不锈钢2509,-0.25,13720.0,13780.0,13720.0,13745.0,-35.0,-,-,-,60,4123950.0,13735.0,-,-,113.ss2509,上期所,2024-11-30 01:00:00,2024-11-29
rr2504,粳米2504,-0.26,3479.0,3490.0,3479.0,3490.0,-9.0,-,-,-,10,348900.0,3484.0,-,-,114.rr2504,大商所,2024-11-29 22:59:33,2024-11-29
UR511,尿素511,-0.26,1901.0,1910.0,1900.0,1901.0,-5.0,-,-,-,10,380600.0,1911.0,-,-,115.UR511,郑商所,2024-11-29 21:00:00,2024-11-29
nr2508,20号胶2508,-0.26,15125.0,15125.0,15125.0,15125.0,-40.0,-,-,-,2,302500.0,15170.0,-,-,142.nr2508,上海能源期货交易所,2024-11-29 23:00:00,2024-11-29
sc2506,原油2506,-0.27,517.5,522.5,517.5,520.0,-1.4,-,-,-,32,16657000.0,520.0,-,-,142.sc2506,上海能源期货交易所,2024-11-30 02:30:00,2024-11-29
MAM,甲醇主连,-0.27,2552.0,2566.0,2551.0,2563.0,-7.0,-,0.69,-,118944,3040208640.0,2566.0,-,-,115.MAM,郑商所,2024-11-29 23:00:00,2024-11-29
MA501,甲醇501,-0.27,2552.0,2566.0,2551.0,2563.0,-7.0,-,0.69,-,118944,3040208640.0,2566.0,-,-,115.MA501,郑商所,2024-11-29 23:00:00,2024-11-29
SF506,硅铁506,-0.28,6322.0,6338.0,6314.0,6320.0,-18.0,-,-,-,58,1833380.0,6332.0,-,-,115.SF506,郑商所,2024-11-29 21:00:00,2024-11-29
ni2507,沪镍2507,-0.29,128380.0,128450.0,128380.0,128410.0,-370.0,-,-,-,5,642100.0,127950.0,-,-,113.ni2507,上期所,2024-11-30 01:00:00,2024-11-29
sc2505,原油2505,-0.29,519.2,523.3,518.9,521.3,-1.5,-,-,-,30,15650900.0,521.0,-,-,142.sc2505,上海能源期货交易所,2024-11-30 02:30:00,2024-11-29
lg2511,原木2511,-0.3,843.0,847.0,841.0,845.5,-2.5,-,0.22,-,49,3720600.0,842.0,-,-,114.lg2511,大商所,2024-11-29 21:00:00,2024-11-29
lh2511,生猪2511,-0.3,14900.0,14960.0,14900.0,14950.0,-45.0,-,-,-,81,19343440.0,14985.0,-,-,114.lh2511,大商所,2024-11-29 21:00:00,2024-11-29
SA507,纯碱507,-0.31,1609.0,1614.0,1604.0,1611.0,-5.0,-,2.53,-,304,9776640.0,1611.0,-,-,115.SA507,郑商所,2024-11-29 23:00:00,2024-11-29
hc2412,热卷2412,-0.32,3410.0,3419.0,3368.0,3399.0,-11.0,-,-,-,150,5089200.0,3470.0,-,-,113.hc2412,上期所,2024-11-29 23:00:00,2024-11-29
rbs,螺纹钢次主连,-0.33,3373.0,3388.0,3370.0,3385.0,-11.0,-,1.13,-,126384,4268683830.0,3380.0,-,-,113.rbs,上期所,2024-11-29 23:00:00,2024-11-29
rb2505,螺纹钢2505,-0.33,3373.0,3388.0,3370.0,3385.0,-11.0,-,1.13,-,126384,4268683830.0,3380.0,-,-,113.rb2505,上期所,2024-11-29 23:00:00,2024-11-29
ss2508,不锈钢2508,-0.33,13630.0,13675.0,13630.0,13665.0,-45.0,-,-,-,12,819375.0,13665.0,-,-,113.ss2508,上期所,2024-11-30 01:00:00,2024-11-29
ss2506,不锈钢2506,-0.33,13460.0,13465.0,13415.0,13465.0,-45.0,-,-,-,18,1210375.0,13495.0,-,-,113.ss2506,上期所,2024-11-30 01:00:00,2024-11-29
ss2505,不锈钢2505,-0.34,13350.0,13400.0,13325.0,13370.0,-45.0,-,1.32,-,1894,126472225.0,13370.0,-,-,113.ss2505,上期所,2024-11-30 01:00:00,2024-11-29
FG508,玻璃508,-0.34,1466.0,1475.0,1464.0,1470.0,-5.0,-,-,-,91,2673580.0,1469.0,-,-,115.FG508,郑商所,2024-11-29 22:59:57,2024-11-29
js,焦炭次主连,-0.36,1950.5,1963.0,1945.5,1950.0,-7.0,-,1.35,-,810,158304950.0,1956.0,-,-,114.js,大商所,2024-11-29 22:59:56,2024-11-29
j2505,焦炭2505,-0.36,1950.5,1963.0,1945.5,1950.0,-7.0,-,1.35,-,810,158304950.0,1956.0,-,-,114.j2505,大商所,2024-11-29 22:59:56,2024-11-29
SA508,纯碱508,-0.36,1648.0,1654.0,1644.0,1652.0,-6.0,-,0.63,-,76,2506480.0,1652.0,-,-,115.SA508,郑商所,2024-11-29 23:00:00,2024-11-29
lh2509,生猪2509,-0.37,14990.0,15105.0,14960.0,15100.0,-55.0,-,1.5,-,676,162450800.0,15070.0,-,-,114.lh2509,大商所,2024-11-29 21:00:00,2024-11-29
im,铁矿石主连,-0.38,793.0,801.0,792.0,800.0,-3.0,-,0.65,-,62286,4954934550.0,797.5,-,-,114.im,大商所,2024-11-29 23:00:00,2024-11-29
i2501,铁矿石2501,-0.38,793.0,801.0,792.0,800.0,-3.0,-,0.65,-,62286,4954934550.0,797.5,-,-,114.i2501,大商所,2024-11-29 23:00:00,2024-11-29
i2502,铁矿石2502,-0.38,788.0,795.0,787.5,795.0,-3.0,-,0.56,-,1947,154069000.0,791.0,-,-,114.i2502,大商所,2024-11-29 23:00:00,2024-11-29
y2507,豆油2507,-0.38,7844.0,7974.0,7786.0,7928.0,-30.0,-,-,-,590,46453300.0,7918.0,-,-,114.y2507,大商所,2024-11-29 23:00:00,2024-11-29
y2509,豆油2509,-0.38,7810.0,7932.0,7752.0,7880.0,-30.0,-,1.31,-,6457,508295720.0,7874.0,-,-,114.y2509,大商所,2024-11-29 22:59:59,2024-11-29
PX502,对二甲苯502,-0.38,6734.0,6800.0,6714.0,6800.0,-26.0,-,0.65,-,4263,143705730.0,6782.0,-,-,115.PX502,郑商所,2024-11-29 22:59:59,2024-11-29
pg2412,LPG2412,-0.41,4400.0,4431.0,4292.0,4293.0,-18.0,-,0.01,-,22,1934040.0,4408.0,-,-,114.pg2412,大商所,2024-11-29 22:59:35,2024-11-29
ss2504,不锈钢2504,-0.41,13280.0,13330.0,13270.0,13310.0,-55.0,-,-,-,390,25947450.0,13320.0,-,-,113.ss2504,上期所,2024-11-30 01:00:00,2024-11-29
SFS,硅铁次主连,-0.41,6256.0,6284.0,6246.0,6280.0,-26.0,-,1.18,-,45777,1433735640.0,6274.0,-,-,115.SFS,郑商所,2024-11-29 21:00:00,2024-11-29
SF502,硅铁502,-0.41,6256.0,6284.0,6246.0,6280.0,-26.0,-,1.18,-,45777,1433735640.0,6274.0,-,-,115.SF502,郑商所,2024-11-29 21:00:00,2024-11-29
bm,豆二主连,-0.42,3582.0,3608.0,3565.0,3598.0,-15.0,-,1.03,-,37477,1345667070.0,3589.0,-,-,114.bm,大商所,2024-11-29 23:00:00,2024-11-29
b2501,豆二2501,-0.42,3582.0,3608.0,3565.0,3598.0,-15.0,-,1.03,-,37477,1345667070.0,3589.0,-,-,114.b2501,大商所,2024-11-29 23:00:00,2024-11-29
sss,不锈钢次主连,-0.42,13100.0,13135.0,13050.0,13100.0,-55.0,-,0.86,-,24627,1612216500.0,13120.0,-,-,113.sss,上期所,2024-11-30 01:00:00,2024-11-29
ss2502,不锈钢2502,-0.42,13100.0,13135.0,13050.0,13100.0,-55.0,-,0.86,-,24627,1612216500.0,13120.0,-,-,113.ss2502,上期所,2024-11-30 01:00:00,2024-11-29
lgs,原木次主连,-0.42,832.0,836.0,828.5,829.0,-3.5,-,0.24,-,269,20158605.0,831.0,-,-,114.lgs,大商所,2024-11-29 21:00:00,2024-11-29
lg2509,原木2509,-0.42,832.0,836.0,828.5,829.0,-3.5,-,0.24,-,269,20158605.0,831.0,-,-,114.lg2509,大商所,2024-11-29 21:00:00,2024-11-29
hc2510,热卷2510,-0.42,3557.0,3568.0,3551.0,3565.0,-15.0,-,1.75,-,210,7479540.0,3563.0,-,-,113.hc2510,上期所,2024-11-29 23:00:00,2024-11-29
m2507,豆粕2507,-0.43,2787.0,2806.0,2779.0,2802.0,-12.0,-,0.93,-,6900,192597740.0,2799.0,-,-,114.m2507,大商所,2024-11-29 23:00:00,2024-11-29
lgm,原木主连,-0.43,801.5,805.0,796.0,797.0,-3.5,-,0.38,-,38599,2785745250.0,797.5,-,-,114.lgm,大商所,2024-11-29 21:00:00,2024-11-29
lg2507,原木2507,-0.43,801.5,805.0,796.0,797.0,-3.5,-,0.38,-,38599,2785745250.0,797.5,-,-,114.lg2507,大商所,2024-11-29 21:00:00,2024-11-29
SF504,硅铁504,-0.44,6390.0,6402.0,6366.0,6366.0,-28.0,-,-,-,948,30260160.0,6388.0,-,-,115.SF504,郑商所,2024-11-29 21:00:00,2024-11-29
PX503,对二甲苯503,-0.44,6794.0,6830.0,6784.0,6828.0,-30.0,-,-,-,26,885300.0,6844.0,-,-,115.PX503,郑商所,2024-11-29 22:59:57,2024-11-29
rb2508,螺纹钢2508,-0.44,3395.0,3406.0,3392.0,3406.0,-15.0,-,-,-,184,6248480.0,3400.0,-,-,113.rb2508,上期所,2024-11-29 23:00:00,2024-11-29
RM503,菜粕503,-0.44,2249.0,2266.0,2244.0,2259.0,-10.0,-,0.63,-,27406,618005300.0,2259.0,-,-,115.RM503,郑商所,2024-11-29 23:00:00,2024-11-29
